,0
0,"{'car': 2, 'traffic light': 1}"
1,"{'car': 1, 'traffic light': 1}"
2,"{'traffic light': 1, 'car': 2}"
3,"{'car': 3, 'traffic light': 1}"
4,"{'car': 4, 'traffic light': 1}"
5,"{'car': 3, 'traffic light': 1}"
6,"{'car': 4, 'traffic light': 1}"
7,"{'car': 4, 'traffic light': 1}"
8,"{'traffic light': 1, 'car': 4}"
9,"{'car': 5, 'traffic light': 1}"
10,"{'car': 4, 'traffic light': 1}"
11,{'car': 3}
12,{'car': 2}
13,{'car': 4}
14,"{'car': 2, 'traffic light': 1}"
15,{'car': 2}
16,{'car': 2}
17,{'car': 3}
18,{'car': 1}
19,{'car': 3}
20,{'car': 4}
21,{'car': 3}
22,{'car': 2}
23,{'car': 3}
24,{'car': 3}
25,{'car': 4}
26,{'car': 3}
27,{'car': 3}
28,{'car': 1}
29,{'car': 3}
30,{'car': 4}
31,{'car': 4}
32,{'car': 3}
33,{'car': 3}
34,{'car': 2}
35,"{'car': 1, 'bus': 1}"
36,"{'bus': 2, 'car': 1}"
37,{'car': 2}
38,{'car': 2}
39,{'car': 4}
40,{'car': 1}
41,{'car': 1}
42,{'car': 1}
43,{'car': 2}
44,{'car': 3}
45,{'car': 1}
46,{'car': 2}
47,{'car': 1}
48,{'car': 2}
49,{'car': 1}
50,{'car': 1}
51,{}
52,{}
53,{}
54,{}
55,{}
56,{}
57,{}
58,{'car': 1}
59,{}
60,{}
61,{}
62,{}
63,{}
64,{}
65,{}
66,{}
67,{}
68,{'car': 1}
69,{}
70,{}
71,{}
72,{}
73,{}
74,{}
75,{}
76,{}
77,{}
78,{}
79,{'traffic light': 1}
80,{}
81,"{'truck': 1, 'car': 1}"
82,"{'truck': 1, 'car': 1}"
83,{'car': 1}
84,"{'car': 1, 'truck': 1}"
85,"{'car': 2, 'truck': 1, 'traffic light': 1}"
86,"{'car': 2, 'traffic light': 2}"
87,"{'car': 2, 'traffic light': 1}"
88,"{'car': 3, 'traffic light': 1}"
89,"{'car': 2, 'traffic light': 1}"
90,"{'traffic light': 1, 'car': 2}"
91,"{'car': 2, 'traffic light': 1}"
92,"{'car': 1, 'traffic light': 1}"
93,"{'traffic light': 1, 'car': 2}"
94,"{'traffic light': 1, 'car': 2}"
95,"{'traffic light': 1, 'car': 4}"
96,"{'car': 2, 'traffic light': 1}"
97,"{'car': 4, 'traffic light': 1}"
98,"{'car': 5, 'traffic light': 1}"
99,"{'car': 4, 'traffic light': 1}"
100,"{'car': 5, 'traffic light': 1}"
101,"{'car': 4, 'traffic light': 1}"
102,"{'car': 5, 'traffic light': 1}"
103,{'car': 4}
104,{'car': 4}
105,"{'car': 2, 'truck': 1}"
106,"{'car': 3, 'truck': 1}"
107,{'car': 2}
108,"{'bus': 1, 'car': 1, 'traffic light': 1}"
109,{'car': 2}
110,{'car': 1}
111,{'car': 1}
112,{'car': 3}
113,{'car': 2}
114,{}
115,{'car': 1}
116,{'car': 1}
117,{}
118,{'car': 1}
119,{'car': 2}
120,{'car': 2}
121,{}
122,{}
123,{}
124,{'car': 1}
125,{}
126,{}
127,{}
128,{}
129,{}
130,{}
131,{}
132,{}
133,{}
134,{}
135,{}
136,{}
137,{}
138,{}
139,{}
140,{}
141,{}
142,{}
143,{}
144,{}
145,{'car': 1}
146,{'car': 1}
147,{'car': 1}
148,{'car': 1}
149,{'car': 1}
150,{'car': 1}
151,{'car': 1}
152,{'car': 1}
153,{'car': 1}
154,{'car': 1}
155,{'car': 1}
156,{'car': 1}
157,"{'traffic light': 1, 'car': 1}"
158,"{'traffic light': 1, 'car': 1}"
159,{'traffic light': 1}
160,{'traffic light': 1}
161,{'traffic light': 1}
162,{'traffic light': 1}
163,"{'car': 1, 'traffic light': 1}"
164,{}
165,{'car': 1}
166,{}
167,{'car': 1}
168,{'car': 1}
169,{}
170,{'car': 1}
171,{'car': 1}
172,{'car': 1}
173,{'car': 1}
174,{'car': 1}
175,{'car': 1}
176,{'car': 1}
177,{'car': 1}
178,{'car': 1}
179,{}
180,{'car': 1}
181,{'car': 1}
182,{'car': 1}
183,{'car': 1}
184,{'car': 1}
185,{'car': 1}
186,{}
187,{'car': 1}
188,{}
189,{}
190,{}
191,{}
192,{}
