,0
0,{}
1,{}
2,{}
3,{}
4,{}
5,{}
6,{}
7,{}
8,{}
9,{}
10,{}
11,{}
12,{}
13,{}
14,{}
15,{}
16,{}
17,{'car': 1}
18,{}
19,{'car': 2}
20,{}
21,{'car': 1}
22,{}
23,{'car': 1}
24,{'car': 1}
25,{}
26,{'car': 1}
27,{'car': 1}
28,{}
29,{}
30,{}
31,{'car': 1}
32,{}
33,{}
34,{}
35,{}
36,{}
37,{}
38,{'car': 1}
39,{}
40,{}
41,{}
42,{}
43,{'car': 1}
44,{}
45,{}
46,"{'car': 1, 'tvmonitor': 1}"
47,{'car': 1}
48,{'car': 1}
49,{'car': 1}
50,{'car': 1}
51,{'car': 2}
52,{'car': 2}
53,{}
54,{}
55,{}
56,{}
57,{}
58,{}
59,{}
60,{}
61,{}
62,{}
63,{}
64,{'car': 1}
65,{}
66,{'car': 2}
67,{'car': 1}
68,{'car': 1}
69,{'car': 1}
70,{'car': 2}
71,{'car': 2}
72,{'car': 2}
73,{'car': 2}
74,{'car': 2}
75,{'car': 2}
76,{'car': 2}
77,{'car': 1}
78,{'car': 4}
79,{'car': 4}
80,{'car': 2}
81,{'car': 2}
82,"{'car': 2, 'tvmonitor': 1}"
83,{'car': 2}
84,{'car': 1}
85,{'car': 1}
86,{'tvmonitor': 1}
87,{}
88,{}
89,{}
90,{}
91,{}
92,{}
93,{}
94,{}
95,{}
96,{'tvmonitor': 1}
97,{'tvmonitor': 1}
98,{'tvmonitor': 1}
99,{}
100,{'tvmonitor': 1}
101,{'tvmonitor': 1}
102,{'tvmonitor': 1}
103,{'tvmonitor': 1}
104,{'tvmonitor': 1}
105,{'tvmonitor': 1}
106,{'tvmonitor': 1}
107,{'tvmonitor': 1}
108,{'tvmonitor': 1}
109,"{'tvmonitor': 1, 'cell phone': 1}"
110,"{'tvmonitor': 1, 'laptop': 1}"
111,{'tvmonitor': 1}
112,{'tvmonitor': 1}
113,{'tvmonitor': 1}
114,{'tvmonitor': 1}
115,{'tvmonitor': 1}
116,{'tvmonitor': 1}
117,{'tvmonitor': 1}
118,{'tvmonitor': 1}
119,"{'tvmonitor': 1, 'car': 1}"
120,{'tvmonitor': 1}
121,{'tvmonitor': 1}
122,{'tvmonitor': 1}
123,{'tvmonitor': 1}
124,{'tvmonitor': 1}
125,{'tvmonitor': 1}
126,{}
127,{'tvmonitor': 1}
128,{'tvmonitor': 1}
129,{}
130,{}
131,{'tvmonitor': 1}
132,{'tvmonitor': 1}
133,{'tvmonitor': 1}
134,{'tvmonitor': 1}
135,{}
136,{'car': 1}
137,{}
138,{}
139,{'train': 1}
140,{'train': 1}
141,{'train': 1}
142,{}
143,{}
144,{}
145,{}
146,{'train': 1}
147,{}
148,{}
149,{}
150,{'tvmonitor': 1}
151,{'tvmonitor': 1}
152,{}
153,{}
154,"{'tvmonitor': 1, 'car': 1}"
155,{'tvmonitor': 1}
156,{'tvmonitor': 1}
157,{'tvmonitor': 1}
158,{'tvmonitor': 1}
159,{'tvmonitor': 1}
160,{'tvmonitor': 1}
161,{}
162,{}
163,{'tvmonitor': 1}
164,{}
165,{'tvmonitor': 1}
166,{}
167,{}
168,{}
169,{}
170,{}
171,{}
172,{'cell phone': 1}
173,{}
174,{'tvmonitor': 1}
175,{}
176,{}
177,{}
178,{}
179,{}
180,{}
181,{}
182,{}
183,{}
184,{}
185,{}
186,{}
187,{}
188,{'aeroplane': 1}
189,{'aeroplane': 1}
190,{'aeroplane': 1}
191,{'aeroplane': 1}
192,{'aeroplane': 1}
