,0
0,{'car': 1}
1,{'car': 1}
2,{'car': 1}
3,{'car': 1}
4,{'car': 2}
5,{'car': 2}
6,{'car': 2}
7,"{'car': 2, 'person': 1}"
8,"{'car': 2, 'person': 1}"
9,{'car': 2}
10,"{'car': 2, 'person': 1}"
11,"{'car': 1, 'person': 1}"
12,{'car': 1}
13,"{'car': 3, 'person': 1}"
14,"{'car': 2, 'person': 1}"
15,"{'car': 3, 'person': 1}"
16,"{'car': 3, 'person': 1}"
17,"{'car': 5, 'person': 1}"
18,"{'car': 4, 'person': 1}"
19,{'car': 5}
20,{'car': 4}
21,"{'car': 4, 'person': 1}"
22,{'car': 5}
23,{'car': 5}
24,{'car': 3}
25,{'car': 3}
26,{'car': 2}
27,"{'car': 3, 'truck': 1}"
28,"{'car': 3, 'person': 1, 'truck': 1}"
29,"{'car': 3, 'truck': 1, 'person': 1}"
30,"{'car': 2, 'traffic light': 1, 'person': 1}"
31,{'car': 2}
32,{'car': 2}
33,{'car': 2}
34,{'car': 2}
35,{'car': 2}
36,{'car': 4}
37,{'car': 2}
38,{'car': 4}
39,{'car': 2}
40,{'car': 5}
41,{'car': 4}
42,{'car': 4}
43,{'car': 3}
44,"{'car': 2, 'traffic light': 1}"
45,{'car': 4}
46,{'car': 4}
47,{'car': 6}
48,{'car': 3}
49,{'car': 4}
50,"{'car': 4, 'person': 1, 'bus': 1}"
51,"{'bus': 1, 'car': 2, 'truck': 2}"
52,"{'car': 4, 'bus': 1, 'person': 1, 'traffic light': 1, 'truck': 1}"
53,"{'car': 4, 'bus': 2, 'truck': 2}"
54,"{'car': 5, 'bus': 1, 'truck': 2}"
55,"{'truck': 1, 'car': 4, 'bus': 1, 'traffic light': 1}"
56,"{'car': 2, 'truck': 2, 'bus': 1}"
57,"{'truck': 1, 'car': 2, 'bus': 1}"
58,"{'car': 2, 'truck': 1, 'bus': 2}"
59,"{'car': 2, 'bus': 1, 'truck': 2}"
60,"{'car': 2, 'truck': 1, 'bus': 1}"
61,"{'car': 2, 'truck': 1}"
62,"{'car': 3, 'person': 1, 'bus': 1}"
63,"{'car': 2, 'truck': 1}"
64,"{'car': 2, 'truck': 1}"
65,"{'car': 3, 'truck': 1}"
66,"{'car': 2, 'traffic light': 1}"
67,"{'car': 4, 'truck': 1}"
68,"{'car': 3, 'person': 1}"
69,"{'car': 4, 'truck': 1, 'person': 1}"
70,{'car': 4}
71,{'car': 2}
72,"{'car': 3, 'truck': 2}"
73,"{'car': 5, 'truck': 1}"
74,{'car': 6}
75,"{'car': 7, 'truck': 1}"
76,{'car': 3}
77,{'car': 7}
78,{'car': 7}
79,{'car': 4}
80,"{'car': 6, 'person': 1, 'traffic light': 1}"
81,"{'car': 6, 'person': 1}"
82,"{'car': 6, 'person': 1, 'motorbike': 1}"
83,{'car': 6}
84,{'car': 10}
85,{'car': 8}
86,"{'car': 7, 'traffic light': 1}"
87,"{'car': 7, 'traffic light': 1}"
88,"{'car': 5, 'traffic light': 1}"
89,"{'car': 6, 'person': 1, 'traffic light': 1}"
90,"{'car': 8, 'person': 1}"
91,{'car': 5}
92,{'car': 7}
93,"{'car': 5, 'traffic light': 1, 'truck': 1}"
94,"{'car': 6, 'traffic light': 1}"
95,"{'car': 5, 'traffic light': 1, 'truck': 1}"
96,"{'car': 4, 'truck': 1, 'person': 1, 'traffic light': 1}"
97,"{'car': 6, 'truck': 2, 'person': 1, 'traffic light': 1}"
98,"{'car': 7, 'traffic light': 1, 'person': 1, 'truck': 1}"
99,"{'car': 6, 'person': 1}"
100,{'car': 5}
101,{'car': 6}
102,{'car': 5}
103,{'car': 6}
104,"{'car': 5, 'motorbike': 1}"
105,{'car': 5}
106,{'car': 5}
107,{'car': 5}
108,{'car': 5}
109,{'car': 5}
110,{'car': 8}
111,{'car': 5}
112,{'car': 3}
113,{'car': 3}
114,{'car': 3}
115,"{'car': 3, 'truck': 1}"
116,"{'car': 5, 'truck': 1}"
117,"{'car': 6, 'truck': 1}"
118,"{'car': 3, 'truck': 1, 'motorbike': 1}"
119,"{'car': 5, 'truck': 1}"
120,"{'car': 5, 'truck': 1}"
121,"{'car': 6, 'truck': 1}"
122,"{'car': 6, 'truck': 1}"
123,"{'car': 6, 'truck': 1, 'person': 1}"
124,"{'car': 5, 'truck': 1, 'person': 1}"
125,"{'car': 4, 'truck': 1, 'person': 1}"
126,"{'car': 5, 'person': 1, 'truck': 1}"
127,"{'car': 6, 'person': 1}"
128,"{'car': 5, 'person': 1}"
129,"{'car': 6, 'person': 1}"
130,"{'car': 4, 'person': 1}"
131,"{'car': 5, 'person': 1, 'truck': 1}"
132,"{'car': 4, 'person': 1}"
133,"{'car': 3, 'person': 1}"
134,"{'car': 4, 'person': 1, 'truck': 1}"
135,{'car': 3}
136,{'car': 3}
